"Team","DEF.Fant..Pts.","DEF Fant. Pts."
"ARI",0,36.0000000000105
"ATL",0,46.3529411764706
"BAL",0,56.2105263157895
"BUF",0,57.4358974358974
"CAR",0,32.2352941176341
"CHI",0,49.8823529411623
"CIN",0,51.2941176470709
"CLE",0,44.1142857142857
"DAL",0,60.1271390720471
"DEN",0,51.8857142857143
"DET",0,47.5789473684091
"GB",0,48.0545416486651
"HOU",0,54.3277233873553
"IND",0,53.411764705869
"JAX",0,33.8656809652274
"KC",0,45.4634146341514
"LA",0,41.5135135135135
"LAC",0,48.0308476010605
"LV",0,41.4087638862026
"MIA",0,38.2600787280443
"MIN",0,53.9428571428572
"NE",0,36.235294117647
"NO",0,47.2941176470576
"NYG",0,51.0588235294118
"NYJ",0,48.635595611148
"PHI",0,98.413624747227
"PIT",0,50.2606765691935
"SEA",0,51.5294117647059
"SF",0,49.2972972972973
"TB",0,46.7027027027027
"TEN",0,39.2941176470588
"WAS",0,41.7297297297297
