"player","PAT","FGS","FGM","FGL","FFP"
"J.Williams",0,0,0,0,0
"J.Jones",0,0,0,0,0
"D.Jones",0,0,0,0,0
"J.Johnson",0,0,0,0,0
"J.Bates",0,0,0,353.6,1768
"J.Allen",0,0,0,0,0
"J.Taylor",0,0,0,0,0
"T.Hill",0,0,0,0,0
"T.Smith",0,0,0,0,0
"D.Johnson",0,0,0,0,0
"M.Williams",0,0,0,0,0
"B.Jones",0,0,0,0,0
"J.Elliott",0,0,0,332.645161290323,1663.22580645161
"A.Johnson",0,0,0,0,0
"B.Young",0,0,0,0,0
"D.Jackson",0,0,0,0,0
"D.Williams",0,0,0,0,0
"J.Love",0,0,0,0,0
"D.Hopkins",0,0,0,350.4,1752
"B.Robinson",0,0,0,0,0
"D.Davis",0,0,0,0,0
"J.Davis",0,0,0,0,0
"D.Moore",0,0,0,0,0
"J.Hill",0,0,0,0,0
"M.Brown",0,0,0,0,0
"T.Jones",0,0,0,0,0
"C.Sutton",0,0,0,0,0
"J.Simmons",0,0,0,0,0
"S.Thomas",0,0,0,0,0
"D.Turner",0,0,0,0,0
"C.Jones",0,0,0,0,0
"K.White",0,0,0,0,0
"K.Murray",0,0,0,0,0
"M.Edwards",0,0,0,0,0
"K.Clark",0,0,0,0,0
"J.Brooks",0,0,0,0,0
"J.Bullard",0,0,0,0,0
"J.Sanders",0,0,0,349.51724137931,1747.58620689655
"R.Davis",0,0,0,0,0
"D.Lawrence",0,0,0,0,0
"T.Edmunds",0,0,0,0,0
"J.Ward",0,0,0,0,0
"A.Jackson",0,0,0,0,0
"T.Taylor",0,0,0,0,0
"T.Walker",0,0,0,0,0
"D.Robinson",0,0,0,0,0
"M.Harrison",0,0,0,0,0
"F.Moreau",0,0,0,0,0
"B.Murphy",0,0,0,0,0
"J.Jacobs",0,0,0,0,0
"J.Hicks",0,0,0,0,0
"J.Jackson",0,0,0,0,0
"M.Adams",0,0,0,0,0
"T.Bass",0,0,0,326.787878787879,1633.93939393939
"J.Myers",0,0,0,350.451612903226,1752.25806451613
"K.Joseph",0,0,0,0,0
"M.Jackson",0,0,0,0,0
"S.Brown",0,0,0,0,0
"J.Ledbetter",0,0,0,0,0
"L.Chenal",0,0,0,0,0
"T.Townsend",0,0,0,0,0
"D.Smith",0,0,0,0,0
"G.Karlaftis",0,0,0,0,0
"J.Reid",0,0,0,0,0
"M.Jones",0,0,0,0,0
"P.Mahomes",0,0,0,0,0
"S.Martin",0,0,0,0,0
"T.McDuffie",0,0,0,0,0
"A.Robinson",0,0,0,0,0
"C.Harris",0,0,0,0,0
"D.Tranquill",0,0,0,0,0
"J.Campbell",0,0,0,0,0
"J.Carter",0,0,0,0,0
"J.Cook",0,0,0,0,0
"J.Ford",0,0,0,0,0
"J.Goff",0,0,0,0,0
"J.Jefferson",0,0,0,0,0
"J.Reed",0,0,0,0,0
"J.Stout",0,0,0,0,0
"J.Tucker",0,0,0,399.216138429266,1996.08069214633
"K.Gainwell",0,0,0,0,0
"N.Gray",0,0,0,0,0
"N.Harris",0,0,0,0,0
"T.Kelce",0,0,0,0,0
"A.St. Brown",0,0,0,0,0
"B.Mann",0,0,0,0,0
"B.Mayfield",0,0,0,0,0
"B.Stephens",0,0,0,0,0
"B.Wagner",0,0,0,0,0
"C.Brown",0,0,0,0,0
"C.Davis",0,0,0,0,0
"C.McLaughlin",0,0,0,352,1760
"F.Luvu",0,0,0,0,0
"G.Rousseau",0,0,0,0,0
"H.Butker",0,0,0,334.193548387097,1670.96774193548
"J.Hurts",0,0,0,0,0
"J.Scott",0,0,0,0,0
"K.Nixon",0,0,0,0,0
"L.Jackson",0,0,0,0,0
"P.Queen",0,0,0,0,0
"S.LaPorta",0,0,0,0,0
"S.Perine",0,0,0,0,0
"T.McLaurin",0,0,0,0,0
"A.Jones",0,0,0,0,0
"C.Boswell",0,0,0,354,1770
"C.Conner",0,0,0,0,0
"C.Rozeboom",0,0,0,0,0
"C.Stroud",0,0,0,0,0
"D.Armstrong",0,0,0,0,0
"D.Brown",0,0,0,0,0
"D.Henry",0,0,0,0,0
"D.Schultz",0,0,0,0,0
"D.Whelan",0,0,0,0,0
"E.Evans",0,0,0,0,0
"F.Warner",0,0,0,0,0
"J.Gibbs",0,0,0,0,0
"J.Sweat",0,0,0,0,0
"Ju.Watson",0,0,0,0,0
"K.Hamilton",0,0,0,0,0
"K.Shakir",0,0,0,0,0
