"player","pa","pc","py","ints","tdp","ra","ry","tdr","trg","rec","recy","tdrec","fum","FF"
"J.Williams",0,0,0,0,0,13.8167554386389,102.120098475341,0.571428571427716,15.4144092859966,9.87491743634533,52.582385245275,0.514285714286823,0,190.965808148446
"J.Jones",0,0,0,0,0,0,0,0,0.0678096745475852,0.0540873579058563,1.61018106005768e-09,0,0,0.406858047446529
"D.Jones",0.2228300534116,0.06718035505928,0.82856878730479,0,0.695652173911859,6.39542824677711,28.4270464211718,0.208695652173912,0,0,0,0,0,41.2361436879972
"J.Johnson",0,0,0,0,0,0,0,0,14.3201052998758,11.3063694733755,139.476409841752,0.495575221238323,0,99.9178303055537
"J.Bates",0,0,0,0,0,0,0,0,4.38535842768042,2.89156626506009,25.6385542168645,0,0,28.8760059877689
"J.Allen",111.262716021482,78.9661643314857,798.408069550956,0,6.22223716060735,44.0883603473347,179.492236802048,3.1604938271588,0,0,0,0,0,282.795435146929
"J.Taylor",0,0,0,0,0,82.3179630568407,366.173965127392,1.77777777777637,5.77151585330976,3.68027302804383,26.7556673801793,0,0,568.007614489438
"T.Hill",1.4999999999994,0.800000000000007,10.4000000000358,0,0,13.1969252783347,77.3505042049336,1.00000000000004,40.5287506131086,28.167662664192,351.123442373378,2.36489035874583,0,365.537939042366
"T.Smith",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D.Johnson",0,0,0,0,0,7.7866666666705,26.7733333333495,0,15.9205509804708,8.3255121322889,97.0899216209383,0.555556305135339,0,154.68518700879
"M.Williams",0,0,0,0,0,0,0,0,4.88938055158254,1.52758829866734,50.6797345743039,0,0,34.4042567669256
"B.Jones",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J.Elliott",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.Johnson",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.Young",109.991336656672,66.2732725645681,636.709290569634,0,2.87783975941894,8.94207012351356,56.4016875229741,3.70241531969804,0,0,0,0,0,59.6628310253486
"D.Jackson",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D.Williams",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J.Love",119.918898775011,81.4773797059602,980.864621256947,0,7.5416754133578,9.43307293510822,24.5796318658544,0.527312102611213,0,0,0,0,0,59.1091320074959
"D.Hopkins",0,0,0,0,0,0,0,0,26.746194380379,17.3092703619251,205.061290508807,1.55223880597256,0,181.138519213752
"B.Robinson",0,0,0,0,0,122.744565332896,496.121212121212,7.90045339974784,28.0000000000013,21.6969696969727,177.818181818182,1.09682656910977,0,972.761059388212
"D.Davis",0,0,0,0,0,3.0817702192418,16.6060606060606,0,4.30663336267328,3.75953910123346,29.0008082923625,-1.19451875968032,0,48.7716565053648
"J.Davis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D.Moore",0,0,0,0,0,4.3115952917152,12,0,43.7590489688522,29.8576913504937,356.5,2.37500000000175,0,325.511365563404
"J.Hill",0,0,0,0,0,14.853653841199,93.25,0,16.6250000000005,12.4999999999994,100.25,0.625000000000781,0,208.284423047197
"M.Brown",0,0,0,0,0,0,0,0,21.7767371723378,9.06454996798082,87.19795905733,0,0,139.38021893976
"T.Jones",0,0,0,0,0,-1.73344344755578,20.0000000000212,0,1.90197962356338,1.31356355385113,21.4666666667194,0,0,5.15788372271968
"C.Sutton",0.273135295954248,0.273135295954248,0,0,0,0,0,0,34.2435248280129,20.6053951813957,310.776261111142,2.54916639412949,0,236.793691718604
"J.Simmons",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D.Turner",0,0,0,0,0,0.701754385964911,4.63157894736391,0,4.50355119018019,2.57086068614892,-2.73432378549028e-18,0,0,31.694991351607
"C.Jones",0,0,0,0,0,0,0,0,1.42857142857178,1.14285714285652,0,0,0,8.57142857143068
"K.White",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K.Murray",219.576826448576,157.890625932311,1473.50407770161,0,4.5925925925926,18.3296411448279,119.630403341743,1.18518518518514,0,0,0,0,0,122.05940572166
