player,TEAM,ARIMAX_FF
S.Barkley,PHI,975.45
K.Williams,LA,847.355845821304
D.Henry,BAL,816.726315789473
J.Jacobs,GB,793.212731969157
B.Irving,TB,758.680402816305
J.Gibbs,DET,756.315230885092
B.Robinson,WAS,715.727975192725
A.Jones,MIN,687.772305223692
A.Gibson,NE,670.341483338781
D.Swift,CHI,654.397616920386
N.Harris,PIT,648.659253233168
J.Cook,BUF,623.675627795097
D.Achane,MIA,496.728401937326
J.Chase,CIN,471.478610586692
B.Thomas,JAX,456.000000000018
X.Worthy,KC,429.600000000028
J.Taylor,KC,421.909715725818
D.London,ATL,379.764705882353
J.Hurts,PHI,375.252631578947
G.Wilson,NYJ,363.211764705883
B.Bowers,LV,362.707907371896
J.Smith-Njigba,SEA,362.493940476367
J.Daniels,WAS,360.410872037078
J.Jeudy,CLE,350.576470588235
A.St. Brown,DET,349.066666666666
C.Ridley,TEN,341.025183632104
L.Jackson,BAL,336.862103686938
Ja.Williams,DET,330.252343656076
T.Hill,MIA,324.294932196737
J.Smith,MIA,324.099791780504
J.McLaughlin,DEN,322.370747034475
T.Kelce,KC,314.171592595504
T.McLaurin,WAS,292.949324654004
C.Akers,MIN,288.49411764703
Ty.Johnson,BUF,287.07
M.Andrews,BAL,274.540736583099
K.Shakir,BUF,270.742193380981
A.Brown,PHI,266.613020469656
D.Smith,PHI,260.881099421236
Em.Wilson,GB,260.689786178856
D.Brown,WAS,248.825680408509
J.Ford,CHI,242.932778179292
D.Moore,CHI,242.074285714278
J.Jefferson,MIN,240.825120260636
E.Moore,CLE,234.988235293918
B.Allen,NYJ,234.18
Z.Ertz,WAS,233.31
M.Mims,DEN,224.633333333333
B.Nix,DEN,207.767968824718
K.Gainwell,PHI,206.905199594893
J.Reed,GB,205.595134600324
D.Schultz,HOU,194.6994581382
J.Tolbert,DAL,189.070588235241
R.Bateman,BAL,187.187914978529
P.Freiermuth,PIT,186.5
T.Kraft,GB,184.666666666666
C.Williams,CHI,184.354435210786
D.Wicks,GB,179.300000000009
A.Hooper,NE,178.954894341463
M.Brown,KC,177.268475684857
C.Sutton,DEN,177.123741555602
J.Allen,BUF,172.071179702466
O.Zaccheaus,WAS,166.823298964419
P.Mahomes,KC,165.875511602187
R.Davis,BUF,165.463275546711
I.Likely,BAL,161.618038631493
M.Harrison,BAL,154.050494491632
G.Dortch,ARI,152.755763600615
S.Darnold,MIN,149.7
J.Hill,BAL,148.46884777587
J.Herbert,LAC,148.2
B.Mayfield,TB,147.466666666667
C.Austin,PIT,139.233333333341
C.Samuel,BUF,135.998326794272
A.Mitchell,IND,135.952941176471
J.Williams,KC,134.864733193105
D.Ogunbowale,HOU,132.554045660267
A.Iosivas,CIN,131.725631374191
C.Stroud,HOU,131.273684210526
D.Robinson,LA,129.026705056865
J.McNichols,WAS,128.648546774379
N.Gray,KC,121.057660784177
T.Johnson,LA,119.669819495037
S.Perine,KC,119.370000000007
M.Hollins,BUF,119.04
M.Jones,JAX,116.403318525679
M.Stafford,LA,99.9792872499461
K.Murray,ARI,99.2934741960455
D.Hopkins,KC,97.8302621213332
D.Knox,BUF,95.1529411764955
F.Moreau,NO,94.6763094721737
G.Smith,SEA,81.6
J.Burrow,CIN,80.8036278956955
Ju.Watson,KC,77.9647058823529
C.Parkinson,LA,77.8019694155723
J.Goff,DET,74.0999999999739
J.Wilson,PHI,73.8151665332631
J.Johnson,LA,67.8383007654414
J.Sanders,CAR,54.7875
B.Young,LA,51.6402061860292
A.Rodgers,NYJ,50.364705882328
T.Wallace,BAL,47.2822020257715
D.Davis,LAC,46.7472853432421
D.Johnson,LA,45.7634971022998
J.Brooks,MIA,44.7558415157985
M.Williams,PHI,36.9770009780729
D.Turner,MIN,35.5826000778172
J.Love,GB,30.4545876832707
B.Powell,MIN,23.6823529411755
J.Bates,WAS,14.0588235294166
A.Robinson,CAR,13.0984196180011
T.Taylor,CHI,8.24298228593392
D.Walker,CHI,3.43928643344604
C.Johnson,CIN,3.2874019273802
D.Jones,DEN,3.27780650046516
J.Jackson,DEN,2.5488405300443
T.Jones,BAL,0.80144992956311
J.Jones,JAX,0
T.Smith,KC,0
B.Jones,DEN,0
D.Williams,LA,0
J.Elliott,PHI,0
A.Johnson,BUF,0
J.Bullard,GB,0
K.White,NE,0
J.Simmons,TEN,0
S.Thomas,ARI,0
B.Murphy,MIN,0
J.Hicks,KC,0
V.Miller,BUF,0
D.Jackson,PIT,0
J.Davis,PHI,0
J.Newton,WAS,0
C.Jones,KC,0
M.Jackson,CIN,0
M.Smith,JAX,0
B.Brown,LA,0
C.Robinson,MIA,0
K.Clark,GB,0
A.Jackson,LA,0
M.Edwards,HOU,0
T.Bass,BUF,0
B.Mann,PHI,0
S.Brown,PHI,0
T.Edmunds,CHI,0
B.Cook,KC,0
B.Wagner,WAS,0
F.Luvu,WAS,0
J.Carter,PHI,0
J.Chinn,WAS,0
J.Myers,SEA,0
K.Joseph,DET,0
M.Araiza,KC,0
M.Sainristil,WAS,0
N.Igbinoghene,WAS,0
N.Smith,PHI,0
P.Butler,WAS,0
Q.Mitchell,PHI,0
S.Martin,BUF,0
Z.Baun,PHI,0
A.Epenesa,BUF,0
A.Washington,BAL,0
B.Fiske,LA,0
B.Stephens,BAL,0
C.Bullock,HOU,0
C.Gardner-Johnson,PHI,0
C.Lewis,BUF,0
D.Fowler,WAS,0
D.Tranquill,KC,0
Do.Williams,BUF,0
G.Karlaftis,KC,0
G.Rousseau,BUF,0
J.Karty,LA,0
J.Reid,KC,0
J.Stout,BAL,0
J.Sweat,PHI,0
J.Tucker,BAL,0
J.Verse,LA,0
K.Fairbairn,HOU,0
K.Hamilton,BAL,0
L.Chenal,KC,0
N.Bolton,KC,0
Q.Martin,WAS,0
R.Blankenship,PHI,0
T.McDuffie,KC,0
T.Townsend,HOU,0
A.Nelson,TB,0
A.Van Ginkel,MIN,0
B.St-Juste,WAS,0
C.Barton,DEN,0
C.Benford,BUF,0
C.Boswell,PIT,0
C.Bynum,MIN,0
C.Conner,KC,0
C.DeJean,PHI,0
C.Dicker,LAC,0
C.McLaughlin,TB,0
C.Rozeboom,LA,0
Ca.Heyward,PIT,0
D.Armstrong,WAS,0
D.Hall,SEA,0
D.Hunter,HOU,0
D.Richardson,CAR,0
D.Stingley,HOU,0
D.Thomas,SEA,0
D.Whelan,GB,0
E.Evans,LA,0
E.Murray,HOU,0
Er.Wilson,GB,0
H.Phillips,MIN,0
J.Campbell,DET,0
J.Cooper,DEN,0
J.Greenard,MIN,0
J.McCollough,LA,0
J.McMillian,DEN,0
J.Metellus,MIN,0
J.Scott,LAC,0
K.Benton,PIT,0
K.Curl,LA,0
K.Nixon,GB,0
K.Turner,LA,0
K.Van Noy,BAL,0
L.David,TB,0
L.Van Ness,GB,0
M.Adams,PIT,0
M.Fitzpatrick,PIT,0
M.Hoecht,LA,0
M.Humphrey,BAL,0
N.Bonitto,DEN,0
N.Madubuike,BAL,0
O.Oweh,BAL,0
P.Queen,PIT,0
Q.Lake,LA,0
R.Dixon,DEN,0
R.Douglas,BUF,0
R.Smith,BAL,0
R.Wright,MIN,0
W.Lutz,DEN,0
X.McKinney,GB,0
Z.McCollum,TB,0
A.Cole,LV,0
A.Robertson,DET,0
A.Taylor,NO,0
A.Williams,ATL,0
B.Anger,DAL,0
B.Aubrey,DAL,0
B.Baker,ARI,0
B.Baringer,NE,0
B.Branch,DET,0
B.Burns,NYG,0
B.Codrington,BUF,0
B.Grupe,NO,0
B.Pinion,ATL,0
C.Bojorquez,CLE,0
C.Campbell,MIA,0
C.Durant,LA,0
C.Golston,DAL,0
C.Granderson,NO,0
C.Little,JAX,0
C.Santos,CHI,0
C.Taylor-Britt,CIN,0
C.Waitman,PIT,0
D.Bush,CLE,0
D.Carlson,LV,0
D.Godchaux,NE,0
D.Hamlin,BUF,0
D.Henley,LAC,0
D.James,LAC,0
D.Odeyingbo,IND,0
D.Onyemata,ATL,0
D.Payne,WAS,0
D.Slay,PHI,0
D.Witherspoon,SEA,0
Do.Wilson,DAL,0
E.Pineiro,CAR,0
F.Warner,SF,0
G.Jarrett,ATL,0
G.Pratt,CIN,0
G.Stewart,IND,0
G.Stone,CIN,0
H.Landry,TEN,0
H.Smith,MIN,0
H.To'oTo'o,HOU,0
I.McDuffie,GB,0
J.Brown,SF,0
J.Brownlee,TEN,0
J.Franklin-Myers,DEN,0
J.Hekker,CAR,0
J.Ossai,CIN,0
J.Porter,PIT,0
J.Ramsey,MIA,0
J.Sherwood,NYJ,0
J.Slye,NE,0
J.Strnad,DEN,0
J.Tavai,NE,0
K.Byard,CHI,0
K.Elliss,ATL,0
K.Kinchens,LA,0
D.Carter,BUF,-19.3695581409175
