player,TEAM,NN_FF
S.Barkley,PHI,975.51
K.Williams,LA,848.5
D.Henry,BAL,816.789473684211
J.Jacobs,GB,790.3
J.Gibbs,DET,746.866666666667
B.Robinson,WAS,719.311764705882
D.Swift,CHI,693.564705882353
A.Jones,MIN,687.568421052631
D.Achane,MIA,667.447058823529
N.Harris,PIT,650.210526315789
J.Cook,BUF,627.284210526316
B.Irving,TB,609.533333333333
J.Chase,CIN,438.952941176471
D.London,ATL,381.776470588235
B.Bowers,LV,377.364705882353
J.Hurts,PHI,375.252631578947
G.Wilson,NYJ,367.623529411765
J.Daniels,WAS,360.39
A.St. Brown,DET,353.266666666667
J.Jeudy,CLE,350.576470588235
A.Gibson,NE,341.823529411765
J.Smith-Njigba,SEA,341.717647058824
B.Thomas,JAX,341.647058823529
L.Jackson,BAL,335.968421052632
J.McLaughlin,DEN,323.047058823529
J.Taylor,KC,320.614285714286
T.Kelce,KC,319.673684210526
C.Ridley,TEN,309.070588235294
X.Worthy,KC,302.178947368421
A.Brown,PHI,298.270588235294
T.McLaurin,WAS,295.83
C.Akers,MIN,288.564705882353
J.Ford,CHI,288.39
K.Shakir,BUF,277.433333333333
J.Smith,MIA,270.741176470588
Em.Wilson,GB,265.466666666667
D.Smith,PHI,263.047058823529
T.Hill,MIA,261.077419354839
C.Sutton,DEN,255.75652173913
J.Jefferson,MIN,253.628571428571
D.Moore,CHI,242.074285714286
E.Moore,CLE,237.176470588235
B.Allen,NYJ,234.27
Z.Ertz,WAS,233.31
J.Reed,GB,210.39
B.Nix,DEN,210
K.Gainwell,PHI,207.285714285714
Ja.Williams,DET,205.89
D.Schultz,HOU,195.78947368421
J.Williams,KC,190.924137931034
M.Andrews,BAL,189.631578947368
J.Tolbert,DAL,189.070588235294
R.Bateman,BAL,186.566666666667
P.Freiermuth,PIT,186.5
T.Kraft,GB,185.2
Ty.Johnson,BUF,180.9
D.Wicks,GB,179.3
J.Allen,BUF,176.234482758621
P.Mahomes,KC,165.947368421053
I.Likely,BAL,163.411764705882
M.Mims,DEN,160.8
O.Zaccheaus,WAS,159.852631578947
R.Davis,BUF,159.070588235294
T.Johnson,LA,154.472727272727
J.McNichols,WAS,154.066666666667
S.Darnold,MIN,149.733333333333
J.Hill,BAL,148.3
J.Herbert,LAC,148.266666666667
B.Mayfield,TB,147.466666666667
A.Iosivas,CIN,146.294117647059
C.Williams,CHI,145.881818181818
M.Harrison,BAL,142.781818181818
A.Hooper,NE,141.847058823529
C.Austin,PIT,139.233333333333
C.Samuel,BUF,137.329411764706
A.Mitchell,IND,136.164705882353
D.Brown,WAS,133.421052631579
C.Stroud,HOU,133.168421052632
D.Ogunbowale,HOU,132.833333333333
G.Dortch,ARI,129.741176470588
N.Gray,KC,123.1
G.Smith,SEA,121.905882352941
S.Perine,KC,119.43
M.Hollins,BUF,119.04
C.Parkinson,LA,116.6
D.Robinson,LA,106.907142857143
K.Murray,ARI,101.748387096774
D.Hopkins,KC,101.571428571429
J.Burrow,CIN,96.1058823529412
D.Knox,BUF,95.1882352941176
F.Moreau,NO,94.6736842105263
D.Johnson,LA,90.6692307692308
