player,TEAM,pa,pc,py,ints,tdp,ra,ry,tdr,trg,rec,recy,tdrec,fum,FF
S.Barkley,PHI,0,0,0,0,0,130.8,751.2,5.4,17.4,13.8000000000011,105.9,0,0,975.45
K.Williams,LA,0,0,0,0,0,117,493.666666666667,4.66666666667299,15,12.6666666666663,54.2251248796919,1.0000000000003,0,847.355845821304
D.Henry,BAL,0,0,0,0,0,115.894736842105,691.894736842105,6,7.57894736842105,6.00000000000241,60.9473684210526,0,0,816.726315789473
J.Jacobs,GB,0,0,0,0,0,106.333333333273,470,6,15.8132331060312,13,127.333333333333,0,0,793.212731969157
B.Irving,TB,0,0,0,0,0,99.5300671360507,399.666666666667,2.66666666666667,18,16.3333333333301,132.666666666667,0,0,758.680402816305
J.Gibbs,DET,0,0,0,0,0,88,512.988545052535,6.00000000000011,24.6666666666667,19.3333333333333,282.830430465046,1.33333333333394,0,756.315230885092
B.Robinson,WAS,0,0,0,0,0,93,438.54075644891,4.44495338613238,17.9999999999966,14.9999999999985,54.2940420924122,0,0,715.727975192725
A.Jones,MIN,0,0,0,0,0,84.631578947341,377.196736449091,1.57894736842105,21.4736842105263,17.0526315789492,132.631578947368,0,0,687.772305223692
A.Gibson,NE,0,0,0,0,0,60.4972546314517,150.254856721999,0.367703175326661,46.3264165789689,35.5692788215153,143.37200086525,0,0,670.341483338781
D.Swift,CHI,0,0,0,0,0,81.8956609042678,265.382131373117,0.87849201692238,21.0868153258996,17.9451509181783,98.7669720037812,0,0,654.397616920386
N.Harris,PIT,0,0,0,0,0,84.9473684210444,322.57412716856,1.89473684210526,16.0494295597445,12.3157894736773,102.315789473684,0,0,648.659253233168
J.Cook,BUF,0,0,0,0,0,81.8830119601262,382.722751989477,5.68438730128826,13.8947368421053,12.0000000000125,101.684210526316,0,0,623.675627795097
D.Achane,MIA,0,0,0,0,0,71.0297222994091,467.589802385156,3.49933728314695,3.71757547670571,3.59430761331501,8.85620942711432,2.50080371095397,0,496.728401937326
J.Chase,CIN,0,0,0,0,0,2.16783712598102,20.2434884582129,0,71.5763564773824,58.4683344259858,262.996242520812,6.89475868609565,0,471.478610586692
B.Thomas,JAX,0,0,0,0,0,2.11764705882647,16.9411764705882,0,66,42,452.470588235294,3.52941176470988,0,456.000000000018
X.Worthy,KC,0,0,0,0,0,7.26315789474153,35.3684210526315,0,48,48,942,2.84210526315789,0,429.600000000028
J.Taylor,KC,0,0,0,0,0,60.969240522837,225.125867008506,1.57142857142669,5.26367118809049,3.12386467953571,18.4251590225942,0,0,421.909715725818
D.London,ATL,0,0,0,0,0,0,0,0,55.7647058823529,35.2941176470593,448.588235294118,3.17647058823529,0,379.764705882353
J.Hurts,PHI,142.736842105263,98.8421052631579,1146,0,7.2631578947377,58.1052631578947,260.210526315789,6,0,0,0,0,0,375.252631578947
G.Wilson,NYJ,0,0,0,0,0,0,0,0,54,35.647058823541,389.64705882353,2.47058823529511,0,363.211764705883
B.Bowers,LV,0,0,0,0,0,2.60227197788635,6.47143014088306,0,51.1507138166074,37.927197371861,393.266387222827,2.16210868562624,0,362.707907371896
J.Smith-Njigba,SEA,0,0,0,0,0,3.24015616921436,14.6679679024634,0,50.2486815039483,35.2941176470633,398.823529412622,2.11764705882647,0,362.493940476367
J.Daniels,WAS,178.2,121.8,1317,0,9.00000000000285,54.9,307.8,2.30872037078425,0,0,0,0,0,360.410872037078
J.Jeudy,CLE,0,0,0,0,0,0,0,0,51.1764705882353,52.7794105422676,433.764705882353,1.41176470588235,0,350.576470588235
A.St. Brown,DET,0,0,0,0,0,0,0,0,50.3333333333334,40.9462928617487,466.666666666667,3.99999999999347,0,349.066666666666
C.Ridley,TEN,0,0,0,0,0,4.90338119560665,20.1065562926492,-0.148449410357142,42.8447910039609,32.2244664005962,529.978556647281,-4.57515918259213,0,341.025183632104
