player,TEAM,pa,pc,py,ints,tdp,ra,ry,tdr,trg,rec,recy,tdrec,fum,FF
S.Barkley,PHI,0,0,0,0,0,130.8,751.2,5.4,17.4,13.8,105.9,0.6,0,975.51
K.Williams,LA,0,0,0,0,0,117,493.666666666667,4.66666666666667,15,12.6666666666667,65.6666666666667,1,0,848.5
D.Henry,BAL,0,0,0,0,0,115.894736842105,691.894736842105,6,7.57894736842105,6,60.9473684210526,0.631578947368421,0,816.789473684211
J.Jacobs,GB,0,0,0,0,0,106.333333333333,470,5.33333333333333,15.3333333333333,13,127.333333333333,0.333333333333333,0,790.3
J.Gibbs,DET,0,0,0,0,0,88,505.666666666667,6,24.6666666666667,19.3333333333333,195.666666666667,1.33333333333333,0,746.866666666667
B.Robinson,WAS,0,0,0,0,0,93,420.705882352941,4.23529411764706,18,15,108,0.176470588235294,0,719.311764705882
D.Swift,CHI,0,0,0,0,0,89.2941176470588,338.470588235294,2.11764705882353,18.3529411764706,14.8235294117647,136.235294117647,0,0,693.564705882353
A.Jones,MIN,0,0,0,0,0,84.6315789473684,374.526315789474,1.57894736842105,21.4736842105263,17.0526315789474,132.631578947368,0.631578947368421,0,687.568421052631
D.Achane,MIA,0,0,0,0,0,71.6470588235294,320.117647058824,2.11764705882353,30.7058823529412,27.5294117647059,208.941176470588,2.11764705882353,0,667.447058823529
N.Harris,PIT,0,0,0,0,0,84.9473684210526,334.736842105263,1.89473684210526,16.1052631578947,12.3157894736842,102.315789473684,0,0,650.210526315789
J.Cook,BUF,0,0,0,0,0,82.1052631578947,404.526315789474,6,13.8947368421053,12,101.684210526316,0.631578947368421,0,627.284210526316
B.Irving,TB,0,0,0,0,0,74.6666666666667,399.666666666667,2.66666666666667,18,16.3333333333333,132.666666666667,0.333333333333333,0,609.533333333333
J.Chase,CIN,0,0,0,0,0,1.05882352941176,11.2941176470588,0,61.7647058823529,44.8235294117647,602.823529411765,6,0,438.952941176471
D.London,ATL,0,0,0,0,0,0.352941176470588,-1.05882352941176,0,55.7647058823529,35.2941176470588,448.588235294118,3.17647058823529,0,381.776470588235
B.Bowers,LV,0,0,0,0,0,1.76470588235294,4.58823529411765,0,54,39.5294117647059,421.411764705882,1.76470588235294,0,377.364705882353
J.Hurts,PHI,142.736842105263,98.8421052631579,1146,0,7.26315789473684,58.1052631578947,260.210526315789,6,0,0,0,0,0,375.252631578947
G.Wilson,NYJ,0,0,0,0,0,0.705882352941176,1.76470588235294,0,54,35.6470588235294,389.647058823529,2.47058823529412,0,367.623529411765
J.Daniels,WAS,178.2,121.8,1317,0,9,54.9,307.8,2.1,0,0,0,0,0,360.39
A.St. Brown,DET,0.333333333333333,0.333333333333333,2.33333333333333,0,0.333333333333333,0.666666666666667,2,0,50.3333333333333,41,466.666666666667,4,0,353.266666666667
J.Jeudy,CLE,0,0,0,0,0,0,0,0,51.1764705882353,31.7647058823529,433.764705882353,1.41176470588235,0,350.576470588235
A.Gibson,NE,0,0,0,0,0,42.3529411764706,189.882352941176,0.352941176470588,10.2352941176471,8.11764705882353,72.7058823529412,0,0,341.823529411765
J.Smith-Njigba,SEA,0.352941176470588,0.352941176470588,12.3529411764706,0,0,1.76470588235294,9.17647058823529,0,48.3529411764706,35.2941176470588,398.823529411765,2.11764705882353,0,341.717647058824
B.Thomas,JAX,0,0,0,0,0,2.11764705882353,16.9411764705882,0,46.9411764705882,30.7058823529412,452.470588235294,3.52941176470588,0,341.647058823529
L.Jackson,BAL,164.210526315789,110.526315789474,1452.94736842105,0,14.2105263157895,50.5263157894737,326.842105263158,1.26315789473684,0,0,0,0,0,335.968421052632
J.McLaughlin,DEN,0,0,0,0,0,40.5882352941176,174.352941176471,0.352941176470588,9.88235294117647,8.82352941176471,26.8235294117647,0.705882352941176,0,323.047058823529
